6	61			BiaÅ‚a Podlaska	miasto na prawach powiatu	01.01.2021
20	61			BiaÅ‚ystok	miasto na prawach powiatu	01.01.2021
24	61			Bielsko-BiaÅ‚a	miasto na prawach powiatu	01.01.2021
4	61			Bydgoszcz	miasto na prawach powiatu	01.01.2021
24	62			Bytom	miasto na prawach powiatu	01.01.2021
6	62			Cheýým	miasto na prawach powiatu	01.01.2021
24	63			Chorzýýw	miasto na prawach powiatu	01.01.2021
24	64			Czýýstochowa	miasto na prawach powiatu	01.01.2021
24	65			Dýýbrowa Gýýrnicza	miasto na prawach powiatu	01.01.2021
28	61			Elblýýg	miasto na prawach powiatu	01.01.2021
22	61			Gdaýýsk	miasto na prawach powiatu	01.01.2021
22	62			Gdynia	miasto na prawach powiatu	01.01.2021
24	66			Gliwice	miasto na prawach powiatu	01.01.2021
8	61			Gorzýýw Wielkopolski	miasto na prawach powiatu	01.01.2021
4	62			Grudziýýdz	miasto na prawach powiatu	01.01.2021
24	67			Jastrzýýbie-Zdrýýj	miasto na prawach powiatu	01.01.2021
24	68			Jaworzno	miasto na prawach powiatu	01.01.2021
2	61			Jelenia Gýýra	miasto na prawach powiatu	01.01.2021
30	61			Kalisz	miasto na prawach powiatu	01.01.2021
24	69			Katowice	miasto na prawach powiatu	01.01.2021
26	61			Kielce	miasto na prawach powiatu	01.01.2021
30	62			Konin	miasto na prawach powiatu	01.01.2021
32	61			Koszalin	miasto na prawach powiatu	01.01.2021
12	61			Krakýýw	miasto na prawach powiatu	01.01.2021
18	61			Krosno	miasto na prawach powiatu	01.01.2021
2	62			Legnica	miasto na prawach powiatu	01.01.2021
30	63			Leszno	miasto na prawach powiatu	01.01.2021
6	63			Lublin	miasto na prawach powiatu	01.01.2021
20	62			ýýomýýa	miasto na prawach powiatu	01.01.2021
10	61			ýýýýdýý	miasto na prawach powiatu	01.01.2021
24	70			Mysýýowice	miasto na prawach powiatu	01.01.2021
12	62			Nowy Sýýcz	miasto na prawach powiatu	01.01.2021
28	62			Olsztyn	miasto na prawach powiatu	01.01.2021
16	61			Opole	miasto na prawach powiatu	01.01.2021
14	61			Ostroýýýýka	miasto na prawach powiatu	01.01.2021
24	71			Piekary ýýlýýskie	miasto na prawach powiatu	01.01.2021
10	62			Piotrkýýw Trybunalski	miasto na prawach powiatu	01.01.2021
14	62			Pýýock	miasto na prawach powiatu	01.01.2021
30	64			Poznaýý	miasto na prawach powiatu	01.01.2021
18	62			Przemyýýl	miasto na prawach powiatu	01.01.2021
14	63			Radom	miasto na prawach powiatu	01.01.2021
24	72			Ruda ýýlýýska	miasto na prawach powiatu	01.01.2021
24	73			Rybnik	miasto na prawach powiatu	01.01.2021
18	63			Rzeszýýw	miasto na prawach powiatu	01.01.2021
14	64			Siedlce	miasto na prawach powiatu	01.01.2021
24	74			Siemianowice ýýlýýskie	miasto na prawach powiatu	01.01.2021
10	63			Skierniewice	miasto na prawach powiatu	01.01.2021
22	63			Sýýupsk	miasto na prawach powiatu	01.01.2021
22	64			Sopot	miasto na prawach powiatu	01.01.2021
24	75			Sosnowiec	miasto na prawach powiatu	01.01.2021
20	63			Suwaýýki	miasto na prawach powiatu	01.01.2021
32	62			Szczecin	miasto na prawach powiatu	01.01.2021
24	76			ýýwiýýtochýýowice	miasto na prawach powiatu	01.01.2021
32	63			ýýwinoujýýcie	miasto na prawach powiatu	01.01.2021
18	64			Tarnobrzeg	miasto na prawach powiatu	01.01.2021
12	63			Tarnýýw	miasto na prawach powiatu	01.01.2021
4	63			Toruýý	miasto na prawach powiatu	01.01.2021
24	77			Tychy	miasto na prawach powiatu	01.01.2021
2	65			Waýýbrzych	miasto na prawach powiatu	01.01.2021
14	65			Warszawa	miasto stoýýeczne, na prawach powiatu	01.01.2021
4	64			Wýýocýýawek	miasto na prawach powiatu	01.01.2021
2	64			Wrocýýaw	miasto na prawach powiatu	01.01.2021
24	78			Zabrze	miasto na prawach powiatu	01.01.2021
6	64			Zamoýýýý	miasto na prawach powiatu	01.01.2021
8	62			Zielona Gýýra	miasto na prawach powiatu	01.01.2021
24	79			ýýory	miasto na prawach powiatu	01.01.2021
